,Pre-pandemic Date,"B.C.

Number of ED visits, pre-pandemic",Post-pandemic Date,"B.C.

Number of ED visits, pandemic period",PRE_MIN_TEMPERATURE,PRE_MEAN_TEMPERATURE,PRE_MAX_TEMPERATURE,PRE_TOTAL_SNOW,PRE_TOTAL_RAIN,PRE_TOTAL_PRECIPITATION,PRE_HEATING_DEGREE_DAYS,PRE_COOLING_DEGREE_DAYS,POST_MIN_TEMPERATURE,POST_MEAN_TEMPERATURE,POST_MAX_TEMPERATURE,POST_TOTAL_SNOW,POST_TOTAL_RAIN,POST_TOTAL_PRECIPITATION,POST_HEATING_DEGREE_DAYS,POST_COOLING_DEGREE_DAYS
483,2019-02-25,"4,850",2021-02-25,"3,945",-10.367272727272727,-5.48302752293578,-0.489041095890411,0.0017241379310344,0.0,0.0345360824742268,23.48302752293578,0.0,-1.3874418604651164,1.8985849056603772,5.182242990654205,1.5807339449541284,3.617117117117117,6.052331606217616,16.10141509433962,0.0
484,2019-02-26,"4,540",2021-02-26,"3,929",-10.940566037735849,-5.160952380952381,0.7231132075471699,0.0178571428571428,0.0,0.0203208556149732,23.16095238095238,0.0,-1.294954128440367,2.091549295774648,5.494859813084113,0.349090909090909,0.5477477477477477,0.9,15.908450704225352,0.0
485,2019-02-27,"4,407",2021-02-27,"3,652",-10.12112676056338,-4.041509433962264,2.1107476635514018,0.7586206896551724,0.0852173913043478,0.504102564102564,22.041509433962265,0.0,-4.220000000000001,0.1682692307692307,4.6,1.135922330097087,4.724271844660194,4.295652173913044,17.83173076923077,0.0
486,2019-02-28,"4,484",2021-02-28,"3,599",-6.5695852534562205,-1.6167441860465117,3.399537037037037,0.7973451327433628,0.043362831858407,0.7329896907216494,19.616744186046517,0.0,-0.229047619047619,2.8381642512077296,5.927142857142857,0.8990654205607477,6.75981308411215,5.863917525773196,15.16183574879227,0.0
1,2019-03-01,"4,633",2021-03-01,"4,152",-7.16047619047619,-2.262135922330097,2.619806763285024,0.0773584905660377,0.0283018867924528,0.0767567567567567,20.262135922330096,0.0,0.5461187214611872,4.25462962962963,7.944700460829493,0.1333333333333333,1.9513274336283184,1.9197969543147209,13.74537037037037,0.0
3,2019-03-02,"4,616",2021-03-02,"3,905",-9.664878048780489,-4.54264705882353,0.6407766990291263,0.0194174757281553,0.0,0.0333333333333333,22.54264705882353,0.0,-0.2037209302325581,3.0976415094339624,6.427570093457944,0.2252252252252252,3.878761061946903,2.880203045685279,14.90235849056604,0.0
5,2019-03-03,"4,758",2021-03-03,"3,908",-11.698058252427185,-5.815196078431373,0.1594202898550724,0.022429906542056,0.0093457943925233,0.0370165745856353,23.815196078431374,0.0,0.1495412844036697,4.022790697674418,7.864814814814815,0.3071428571428571,3.324107142857143,3.014213197969543,13.977209302325582,0.0
7,2019-03-04,"5,036",2021-03-04,"4,006",-12.130188679245284,-5.346445497630332,1.5272300469483568,0.0178571428571428,0.0,0.0435483870967741,23.34644549763033,0.0,-0.7298165137614678,4.131924882629108,9.004694835680752,0.4146788990825688,9.062162162162162,6.713333333333333,13.868075117370893,0.0
9,2019-03-05,"4,785",2021-03-05,"4,084",-11.130232558139534,-4.262735849056604,2.623474178403756,0.0607142857142857,0.0,0.047089947089947,22.262735849056604,0.0,1.3751173708920186,5.182608695652173,9.060287081339713,0.4211538461538461,5.6971428571428575,5.787894736842105,12.817391304347826,0.0
11,2019-03-06,"4,532",2021-03-06,"3,753",-7.298130841121495,-2.1533018867924527,3.044859813084112,2.036842105263158,0.184070796460177,1.655958549222798,20.15330188679245,0.0,0.7274038461538461,4.469902912621359,8.215865384615386,0.1961538461538461,3.555769230769231,2.8389473684210524,13.53009708737864,0.0
